WardName,normalization_x.1,normalization_x,normalization_lga_code,normalization_population,normalization_mean_evi,normalization_mean_ndvi,normalization_mean_rainfall,normalization_distance_to_water,normalization_rh_mean,normalization_temp_mean,normalization_housing_quality,normalization_pfpr,normalization_avgrad,normalization_flood,normalization_ndwi,normalization_ndmi,normalization_elevation,normalization_mean_soil_wetness,normalization_settlement_type,normalization_u5_tpr_rdt,normalization_totalarea,normalization_urbanarea,normalization_urbanpercentage,normalization_building_height
Tutungu Jedina,0.9416058394160584,0.9444444444444444,0.75,0.40179030953606354,0.6293440483384456,0.6043524913891634,0.45140860061876237,3.533781800565042e-14,0.4429092726804336,0.23489246137140535,0.29286317251547067,0.8864888187008614,0.012102329041143391,0.1883377027885928,0.09737292624174497,0.44107159307038246,0.1588738601103998,0.7899899872603613,1.0,0.3562970145325387,0.08379864787122425,1.720786842334757e-16,5.788920908264744e-10,0.10325845827770493
Ubandoma,0.9452554744525548,0.9479166666666666,0.875,0.295780947479352,0.576575518795374,0.5891464130990002,0.4661694066888388,1.4382498354119234e-14,0.543951417278316,0.13549394384670485,0.20993671916299594,0.8148709375938021,0.0066519185450414475,0.4222503038864774,0.13951168699450167,0.27146626736723384,0.08702487730695894,0.9337751399001232,1.0,0.3831956961851121,0.029989334374719734,1.0573332902932501e-15,1.2215012129733189e-09,0.16773519877618812
Umaru Majagi A/Umaru Majigi  I,0.948905109489051,0.9513888888888888,0.08333333333333333,0.020837928583682573,0.6234757433948634,0.7334075526565461,0.4837785850793062,2.337729174872486e-14,0.5874951547761768,0.032684625165817556,0.020523037880621143,0.2411189755062841,0.4900159469628005,0.00165912674352971,0.25570421346549604,0.3564896647323449,0.414423403202942,0.0,0.7777777776049382,0.22220256057766588,0.0003641606461757897,4.447489811324853e-17,7.224521810258091e-15,0.4145420327321117
Umaru Majagi B/Umaru Majigi  II,0.9525547445255474,0.9548611111111112,0.08333333333333333,0.13389334117589394,0.643000073711244,0.6819041111564128,0.5149162978007341,8.89387539702153e-15,0.5874951547761768,0.032684625165817556,0.03747690688568998,0.6293438006154148,0.17368392655077486,0.12844819169007904,0.13454611567261318,0.40049095469191576,0.31051809240600264,0.0,0.1515151524107744,0.24716569282491724,0.002265445414291558,2.1231038500643992e-17,1.7975126969694492e-12,0.6157664039435051
Usalle,0.9562043795620438,0.9583333333333334,0.4166666666666667,0.20314682743915888,0.6462469979840154,0.6839297223866794,0.5401018844510583,4.2165913214077206e-14,0.2647421817590753,0.524626616048423,0.43781617658452243,0.9807571130602922,0.004696063103977714,0.5817444959284205,0.1283754906251577,0.210213085145956,0.10844239688927558,0.8140282276222265,1.0,0.5453727733566974,0.07017559922738306,1.0,1.0,0.1628279631013806
Wadata,0.9598540145985401,0.9618055555555556,0.08333333333333333,0.1329375291032522,0.5817039166993623,0.6122525880915516,0.5025625226909378,7.477545002341538e-15,0.5874951547761768,0.032684625165817556,0.003959398368048271,0.29481048303699103,0.2739611061393166,0.14779457404994126,0.15239567534115464,0.2727872211817087,0.2695364590544525,0.22388828051507131,0.6888888889580247,0.25423009111769673,0.02932240285540618,1.0,1.0,0.07308092975724723
Wamba,0.9635036496350365,0.9652777777777778,0.5833333333333334,0.6634316104208023,0.6002003592943596,0.6636394456460708,0.4573828042781743,1.2247634798929863e-14,0.13352729665662283,0.5695704392843138,0.6807557718642074,0.8925483388920922,0.013997614464636434,0.5702887500224528,0.12326383718389008,0.34567422121721325,0.03949702240093601,0.9278795900854181,1.0,0.488384300008331,0.16116935699104618,1.0,1.0,0.035272197442370014
Wambai,0.9671532846715328,0.96875,0.9166666666666666,0.06383721785162856,0.6171798377068398,0.6729771104997483,0.8264224383553719,1.0,0.7930324673181405,0.17625297554977476,0.0087477120653548,0.44434740405709094,0.2587373745751917,0.07347291491196532,0.23853340308780713,0.37399497274249344,0.04162929590874699,0.8690172097893636,1.0,0.429622391254752,0.0008439720183559191,1.4520010818713133e-16,4.71321302493265e-12,0.46645076710953703
Warari,0.9708029197080292,0.9722222222222222,0.8333333333333334,0.3117234026909786,0.503318009594475,0.5455657771160786,0.2266069376845992,2.57352512356554e-14,0.17533338406727952,0.6787815587640771,0.5598645097859971,0.9188737941393058,0.0037252579680549457,0.873833906605902,0.14723717256877134,0.16070028455710827,0.10460932229965318,0.7973406487222747,1.0,0.4858613384463892,0.0749051874393276,1.0,1.0,0.02232644149906435
Wawa,0.9744525547445255,0.9756944444444444,0.125,0.5301509692914737,0.6348392128076263,0.6603543256605902,0.6349447182261462,3.020303356057739e-14,0.48747332258116655,0.5814163978716206,0.7255137946104208,0.5600104554045785,0.00926093826273147,0.41277080225030044,0.15224588132961164,0.18941453817723958,0.17021730478354155,0.5446676280075436,1.0,0.3424149808409679,0.2966134280212755,2.175719562287375e-16,2.563018124811359e-09,0.034914231531744694
Wuse East,0.9781021897810219,0.9791666666666666,0.9583333333333334,0.11148690047300444,0.5362528708102332,0.6855184106880612,0.9356304890627408,4.659892096662843e-14,0.7930324673181405,0.17625297554977476,0.018454344219189813,0.6456513508894003,0.4125081211226549,0.018922602949829535,0.2204105172106716,0.30491281195937453,0.012203287586197967,0.8690172097893636,1.0,0.47381593415238205,0.0026520711638559746,5.945346014921861e-17,6.291183357238363e-12,0.15590326945969873
Wuse West,0.9817518248175182,0.9826388888888888,0.9583333333333334,0.3148481729284611,0.5933768919398648,0.7172837822726422,0.9356304890627408,7.256175993224016e-14,0.7930324673181405,0.17625297554977476,0.018454344219189813,0.6456513508894003,0.23759830137173998,0.13125291360268124,0.2158967197162595,0.33650476731255863,0.006683080461767289,0.8690172097893636,1.0,0.33256597903617396,0.0015217160704803473,4.867725534218074e-15,3.0491215273402776e-10,0.03546206702555294
Yamma,0.9854014598540146,0.9861111111111112,0.4166666666666667,0.3407715118986349,0.5158419224469504,0.5405275804674541,0.4581809591083959,4.175654798072765e-14,0.1950401221991371,0.628406701801223,0.31528883288223086,0.8828316971755825,0.07577288905691312,0.6535172782685934,0.1412592536322768,0.15790070417482654,0.08005616171417981,0.8603596711826574,0.6543209880768176,0.3383458914408862,0.013004642500126146,5.777091740373796e-17,3.261886275628709e-11,0.020795406410946574
Yangalu/Ibelu East,0.9890510948905109,0.9895833333333334,0.5416666666666666,0.4730473249515967,0.5318135424064472,0.5615705593129755,0.3295867743845851,1.8125945972723486e-14,0.2969733693531988,0.6318699685753763,0.38323645861123673,0.7701803903012118,0.00476166927154331,0.7131377622380943,0.13501960726303672,0.14333676309868051,0.08718636205919625,0.8603596711826574,1.0,0.5103956448724938,0.11941009992652334,8.96795000699334e-16,4.121183913317136e-09,0.0157883754337373
Zuma East,0.9927007299270073,0.9930555555555556,0.9583333333333334,0.3852780432811313,0.5214239252679929,0.5473302731324349,0.9067143418897872,5.191641792928144e-14,0.7930324673181405,0.17625297554977476,0.007356803552111806,0.43942273668162257,0.2257300188559958,0.05909127631244425,0.16316263425385652,0.4196615829715446,0.01206819900315613,0.8690172097893636,1.0,0.41553086453783133,0.0016397814984744922,5.0134618671186196e-17,3.0082571812491273e-12,0.012062839997162816
Zuma West,0.9963503649635036,0.9965277777777778,0.9583333333333334,0.16781854275420924,0.3989648245384381,0.4276458560374935,0.8252594845715062,2.279468524902536e-14,0.7930324673181405,0.17625297554977476,0.05779698505312974,0.5254013118109959,0.2335569465474659,0.13049288725833097,0.16640982129476667,0.4933109151328071,0.014753216582302836,0.8690172097893636,1.0,0.32373218895376815,0.005693722775003026,8.683538829363008e-17,2.033755362565432e-11,0.024757894712943686
Zungeru,1.0,1.0,1.0,0.33069872313310295,0.6611347079648867,0.6350376959824693,0.3519203018904003,4.907453323584452e-14,0.41358976323440877,0.2873334774631957,0.2769962683801813,0.8917104538576635,0.00663451524868524,0.3081651733626024,0.11996096821186833,0.346574736868929,0.31581179892791394,0.6358286153110255,1.0,0.33689844057478596,0.08448248415595475,9.089230946285313e-17,3.2225148155061135e-10,0.009792282868233112
